FRAME NR,VISION TOTAL,OBJECTS DETECTION,SCAN ARRENGMENT,BOUNDARY DETECTION,LINE DETECTION,CAMERA TRANSFORMATION
83,0.0698487758636,0.0356481075287,5.07831573486e-05,0.00812983512878,0.025607585907,0.000412464141846
84,0.0685234069824,0.0339765548706,5.1736831665e-05,0.00825071334839,0.0258390903473,0.000405311584473
85,0.0675792694092,0.0330111980438,5.48362731934e-05,0.00820875167847,0.0258977413177,0.000406742095947
86,0.0684087276459,0.0333790779114,5.12599945068e-05,0.00834560394287,0.0262167453766,0.000416040420532
87,0.068568944931,0.0331721305847,5.26905059814e-05,0.00848436355591,0.0264446735382,0.000415086746216
88,0.0712125301361,0.0330011844635,5.12599945068e-05,0.00908923149109,0.0286595821381,0.00041127204895
89,0.0673291683197,0.0332024097443,5.22136688232e-05,0.00828957557678,0.025377035141,0.000407934188843
90,0.0719244480133,0.0334186553955,5.34057617188e-05,0.00896859169006,0.0285868644714,0.00089693069458
91,0.0680575370789,0.0332145690918,5.12599945068e-05,0.00818657875061,0.0259604454041,0.000644683837891
92,0.0716779232025,0.0333044528961,5.05447387695e-05,0.00889420509338,0.0283529758453,0.00107574462891
93,0.0679564476013,0.0330419540405,5.1736831665e-05,0.00821971893311,0.0259954929352,0.00064754486084
94,0.0679399967194,0.0330703258514,5.12599945068e-05,0.00819301605225,0.0259697437286,0.000655651092529
95,0.0678536891937,0.0329353809357,5.10215759277e-05,0.00822257995605,0.0259883403778,0.000656366348267
96,0.0718159675598,0.0330357551575,5.36441802979e-05,0.00898790359497,0.0288593769073,0.000879287719727
97,0.0680451393127,0.0326321125031,5.10215759277e-05,0.00856256484985,0.0261311531067,0.000668287277222
98,0.0686612129211,0.0331196784973,5.14984130859e-05,0.00837326049805,0.0264523029327,0.000664472579956
99,0.0678324699402,0.032897233963,5.07831573486e-05,0.00823950767517,0.0259921550751,0.00065279006958
100,0.0685420036316,0.0333471298218,5.22136688232e-05,0.0082323551178,0.0262637138367,0.000646591186523
101,0.0675802230835,0.0329988002777,5.07831573486e-05,0.00818395614624,0.0257000923157,0.000646591186523
102,0.0723793506622,0.0333640575409,4.9352645874e-05,0.00897479057312,0.0288941860199,0.00109696388245
103,0.067459821701,0.0327575206757,5.12599945068e-05,0.00833177566528,0.0256469249725,0.000672340393066
104,0.0670530796051,0.0328638553619,5.1736831665e-05,0.00815868377686,0.0255641937256,0.000414609909058
105,0.0672473907471,0.0326206684113,5.29289245605e-05,0.0081844329834,0.0259776115417,0.000411748886108
106,0.0677464008331,0.0330102443695,5.48362731934e-05,0.00822997093201,0.0257589817047,0.000692367553711
107,0.0677134990692,0.0329174995422,5.3882598877e-05,0.00820398330688,0.0259153842926,0.000622749328613
108,0.0667264461517,0.032808303833,4.91142272949e-05,0.00803351402283,0.0254168510437,0.000418663024902
109,0.0672280788422,0.0327565670013,5.10215759277e-05,0.00816082954407,0.0258281230927,0.000431537628174
110,0.0646965503693,0.0305213928223,5.05447387695e-05,0.00812220573425,0.0255744457245,0.000427961349487
111,0.067556142807,0.0326838493347,5.14984130859e-05,0.00828266143799,0.0261039733887,0.000434160232544
112,0.067619562149,0.0326943397522,0.00011944770813,0.00833606719971,0.0260541439056,0.000415563583374
113,0.0659108161926,0.032523393631,5.10215759277e-05,0.0080738067627,0.0248470306396,0.000415563583374
114,0.0670945644379,0.0329592227936,5.22136688232e-05,0.0081741809845,0.0254831314087,0.000425815582275
115,0.0660967826843,0.0321621894836,5.3882598877e-05,0.00817894935608,0.0252909660339,0.000410795211792
116,0.0667970180511,0.032753944397,5.03063201904e-05,0.00805974006653,0.0254466533661,0.000486373901367
117,0.0676391124725,0.0327589511871,5.24520874023e-05,0.0081832408905,0.026022195816,0.000622272491455
118,0.0712592601776,0.0328962802887,5.19752502441e-05,0.00884747505188,0.02863073349,0.000832796096802
119,0.0669503211975,0.0325832366943,5.29289245605e-05,0.00810360908508,0.0255901813507,0.000620365142822
120,0.0670359134674,0.0329983234406,5.22136688232e-05,0.00805616378784,0.025520324707,0.000408887863159
121,0.066828250885,0.032737493515,5.34057617188e-05,0.00811433792114,0.0255088806152,0.000414133071899
122,0.0712404251099,0.0327634811401,5.1736831665e-05,0.00887298583984,0.028706073761,0.000846147537231
123,0.0672898292542,0.0329785346985,5.12599945068e-05,0.00817394256592,0.0256719589233,0.000414133071899
124,0.0717482566833,0.033035993576,5.36441802979e-05,0.00907564163208,0.0287339687347,0.000849008560181
125,0.0671052932739,0.0329282283783,5.24520874023e-05,0.0081353187561,0.0255806446075,0.00040864944458
126,0.0670201778412,0.0329737663269,5.12599945068e-05,0.0080349445343,0.0255558490753,0.000404357910156
127,0.0720219612122,0.0329523086548,5.00679016113e-05,0.00896334648132,0.0289566516876,0.00109958648682
128,0.0672256946564,0.0331938266754,5.14984130859e-05,0.00804400444031,0.0255160331726,0.000420331954956
129,0.0674545764923,0.032968044281,5.1736831665e-05,0.0081775188446,0.0258500576019,0.000407218933105
130,0.0668475627899,0.0329620838165,5.26905059814e-05,0.00805735588074,0.0253641605377,0.00041127204895
131,0.0669922828674,0.0329191684723,5.12599945068e-05,0.00801062583923,0.0255565643311,0.000454664230347
132,0.0646572113037,0.0305795669556,5.29289245605e-05,0.00801491737366,0.0253529548645,0.000656843185425
133,0.0676162242889,0.0328137874603,5.14984130859e-05,0.0082426071167,0.0258481502533,0.000660181045532
134,0.0676670074463,0.0327701568604,6.17504119873e-05,0.00820755958557,0.0258548259735,0.000772714614868
135,0.0716428756714,0.0330648422241,5.26905059814e-05,0.00918292999268,0.0286793708801,0.000663042068481
136,0.0670721530914,0.0327634811401,5.41210174561e-05,0.00818037986755,0.0256507396698,0.000423431396484
137,0.0662560462952,0.0325267314911,6.36577606201e-05,0.00808572769165,0.0251684188843,0.000411510467529
138,0.0714066028595,0.0328016281128,5.19752502441e-05,0.00900173187256,0.0284833908081,0.0010678768158
139,0.0714626312256,0.0326864719391,5.22136688232e-05,0.00965571403503,0.0284380912781,0.000630140304565
140,0.0717780590057,0.0331211090088,5.10215759277e-05,0.00881743431091,0.0284504890442,0.00133800506592
141,0.0664582252502,0.0326545238495,5.31673431396e-05,0.00804972648621,0.0252833366394,0.000417470932007
142,0.06671833992,0.0328719615936,5.22136688232e-05,0.00794458389282,0.0252110958099,0.000638484954834
143,0.066737651825,0.0328454971313,5.03063201904e-05,0.00798726081848,0.0252032279968,0.000651359558105
144,0.0669250488281,0.0328795909882,0.000144243240356,0.00799369812012,0.0251820087433,0.000725507736206
145,0.0664789676666,0.0325458049774,5.00679016113e-05,0.00818657875061,0.0251622200012,0.000534296035767
