FRAME NR,VISION TOTAL,OBJECTS DETECTION,SCAN ARRENGMENT,BOUNDARY DETECTION,LINE DETECTION,CAMERA TRANSFORMATION
95,0.0713357925415,0.0357275009155,5.36441802979e-05,0.00849914550781,0.026620388031,0.00043511390686
96,0.0687394142151,0.0329875946045,5.3882598877e-05,0.00844240188599,0.0266404151917,0.000615119934082
97,0.0687153339386,0.0329749584198,5.14984130859e-05,0.00848913192749,0.0267918109894,0.000407934188843
98,0.0666995048523,0.0329904556274,5.31673431396e-05,0.00794887542725,0.0250844955444,0.000622510910034
99,0.068740606308,0.032986164093,5.07831573486e-05,0.00840020179749,0.0266857147217,0.000617742538452
100,0.067667722702,0.0328826904297,5.24520874023e-05,0.00805521011353,0.0260128974915,0.000664472579956
101,0.0637245178223,0.0326225757599,5.22136688232e-05,0.0072865486145,0.023101568222,0.000661611557007
102,0.0633144378662,0.0326163768768,5.22136688232e-05,0.00723624229431,0.0227837562561,0.000625848770142
103,0.0681819915771,0.0325605869293,5.14984130859e-05,0.00836396217346,0.0265867710114,0.000619173049927
104,0.0678489208221,0.032327413559,5.07831573486e-05,0.00852799415588,0.0265300273895,0.000412702560425
105,0.0682373046875,0.0324981212616,5.43594360352e-05,0.00838279724121,0.026682138443,0.000619888305664
106,0.068151473999,0.0325665473938,5.22136688232e-05,0.00852251052856,0.0263888835907,0.000621318817139
107,0.0689816474915,0.0324776172638,5.41210174561e-05,0.00836825370789,0.0272243022919,0.000857353210449
108,0.0676441192627,0.0324130058289,5.14984130859e-05,0.00824546813965,0.0263168811798,0.000617265701294
109,0.068140745163,0.0324058532715,5.29289245605e-05,0.00839042663574,0.0266704559326,0.00062108039856
110,0.0676829814911,0.0324087142944,5.14984130859e-05,0.00841331481934,0.0263977050781,0.000411748886108
111,0.0678734779358,0.032407283783,5.00679016113e-05,0.00846457481384,0.0265333652496,0.000418186187744
112,0.0683243274689,0.0324060916901,5.12599945068e-05,0.00847268104553,0.0267703533173,0.000623941421509
113,0.0719068050385,0.0324363708496,5.69820404053e-05,0.00905656814575,0.0295870304108,0.000769853591919
114,0.0716741085052,0.0330379009247,5.36441802979e-05,0.0103585720062,0.0278422832489,0.000381708145142
115,0.0685868263245,0.0324172973633,5.26905059814e-05,0.00843214988708,0.0270581245422,0.000626564025879
116,0.0689718723297,0.0322802066803,5.24520874023e-05,0.00867342948914,0.0273389816284,0.000626802444458
117,0.0689034461975,0.0323257446289,5.05447387695e-05,0.00852608680725,0.0273501873016,0.000650882720947
118,0.0680801868439,0.0324079990387,5.29289245605e-05,0.00841474533081,0.0267813205719,0.000423192977905
119,0.0680174827576,0.0320730209351,5.26905059814e-05,0.00848007202148,0.0267646312714,0.000647068023682
