QUADRADO NR,FRAME NR,EXPECTED DIST,MEASURED DIST,ANGLE
1,159,5.535002329934211,5.793893660032725,5.793893660032725
1,160,1.7198777870421713,1.6856414439233733,1.6856414439233733
1,161,4.744938604375259,4.111974063275781,4.111974063275781
1,162,5.72530556419086,5.570218107435761,5.570218107435761
1,163,1.767517873805842,1.6409721105064647,1.6409721105064647
1,164,2.0497374907725403,1.810463864508141,1.810463864508141
1,165,4.276205711761035,3.0217801243328637,3.0217801243328637
1,166,5.44187892648382,5.394195962459923,5.394195962459923
1,167,5.531118867079743,4.83886829491177,4.83886829491177
1,168,5.506193364463843,4.644366993902524,4.644366993902524
1,169,3.9397691983399876,2.870278129721281,2.870278129721281
1,170,5.86449954102301,5.115109329639013,5.115109329639013
1,171,5.309532737005769,4.407278523309598,4.407278523309598
1,172,5.321760059269476,3.9133487339178377,3.9133487339178377
1,173,3.2057599789483064,2.81586697116532,2.81586697116532
1,174,5.69215351410491,5.311586412675747,5.311586412675747
1,175,5.20827309752118,5.674839279670208,5.674839279670208
1,176,5.207181099454833,4.816486395722336,4.816486395722336
1,177,5.156072518205053,7.451624817055703,7.451624817055703
1,179,5.21014758608672,6.794535093136586,6.794535093136586
1,180,4.99041243440209,5.420929206110626,5.420929206110626
1,181,4.967174134987118,5.4769784245755435,5.4769784245755435
1,182,5.1757731401808185,5.230671673575604,5.230671673575604
1,183,5.053245610373426,5.898525176528666,5.898525176528666
1,184,5.301439570518611,6.212280384296897,6.212280384296897
1,185,5.132117138641426,5.82860383612992,5.82860383612992
1,186,4.794204130207835,4.336318312600319,4.336318312600319
1,187,4.743946191608298,4.491404721738084,4.491404721738084
1,188,4.686575172616823,4.465543956717937,4.465543956717937
1,189,4.680652006292313,5.753017640534263,5.753017640534263
1,190,4.604626090231849,5.014765616463626,5.014765616463626
1,191,4.510024641066078,4.254107014292826,4.254107014292826
1,192,4.451476891640645,4.751336318083078,4.751336318083078
1,193,4.5637416436125955,5.8280038742558,5.8280038742558
1,194,4.099888834763227,3.933787295055359,3.933787295055359
1,195,2.5837668888567027,2.410074029973247,2.410074029973247
1,196,4.307976180843174,5.658328081982677,5.658328081982677
1,197,4.305430160837946,4.450477625927184,4.450477625927184
1,198,4.276595658171491,4.471030347352065,4.471030347352065
1,199,2.0588769798467768,1.9252990042348193,1.9252990042348193
1,200,4.205779604372276,6.01140880194263,6.01140880194263
1,201,4.160539577330943,4.650465677368505,4.650465677368505
1,202,4.354747685669914,5.128246751788181,5.128246751788181
1,203,4.015855682596982,5.170710940698453,5.170710940698453
1,204,4.0035718317675215,5.679177492852484,5.679177492852484
1,205,3.582312670314037,3.2442212021109436,3.2442212021109436
1,206,3.907608288468634,3.632731458281641,3.632731458281641
1,207,3.899411042115015,3.2645943193057327,3.2645943193057327
1,208,3.415975025024927,3.274556537063851,3.274556537063851
1,209,3.8560291985675663,4.18776160892924,4.18776160892924
1,210,3.729288028524612,4.107758025500739,4.107758025500739
1,211,3.6896380428253757,4.411582616741602,4.411582616741602
1,212,2.3082210863299437,2.4187567372260297,2.4187567372260297
1,213,2.815103334878278,3.413445145770446,3.413445145770446
1,214,3.5739711758163852,5.1693432964931745,5.1693432964931745
1,215,3.618499885401617,4.092898536718311,4.092898536718311
1,216,2.5881174536889486,2.3785820423047466,2.3785820423047466
1,217,3.1365038820051283,3.199452288559174,3.199452288559174
1,218,3.461250444732033,3.9952838080605044,3.9952838080605044
1,219,3.499116215150909,3.6064545579325378,3.6064545579325378
1,220,3.56798505142229,3.64556825317654,3.64556825317654
1,221,3.432117973317881,3.7442902943724117,3.7442902943724117
1,222,2.650383917547307,2.5916615716220415,2.5916615716220415
1,223,2.14282121387918,2.1770598199770115,2.1770598199770115
1,224,3.2332217129233687,3.3662777816915046,3.3662777816915046
1,225,2.1162806118256268,2.111397801547856,2.111397801547856
1,226,3.1179771224871575,3.3194686950634207,3.3194686950634207
1,227,3.1149786294110244,3.3687967453753407,3.3687967453753407
1,228,3.102909017679907,3.602204233758887,3.602204233758887
1,229,2.989916501284311,3.0703184086817026,3.0703184086817026
1,230,3.1611230755109987,3.2978690591018385,3.2978690591018385
