FRAME NR,SET SIZE,TOTAL,VISION TOTAL,PERSPECTIVE TRANSFORMATION,BOUNDARY DETECTION,OBJECT DETECTION,LOCALIZATION TOTAL,RESAMPLING,AVG PARTICLE,WEIGHT NORMALIZATION,LIKELIHOOD UPDATE,PROPAGATION
95,52,0.15205073356628418,0.043875932693481445,0.0004050731658935547,0.008676767349243164,0.03479409217834473,0.08352422714233398,0.006966114044189453,0.0008075237274169922,0.00011849403381347656,0.07505130767822266,0.0005807876586914062
96,52,0.08836603164672852,0.04171133041381836,0.00041365623474121094,0.008376836776733398,0.03292083740234375,0.023017168045043945,0.0005795955657958984,0.0008232593536376953,8.630752563476562e-05,0.021130800247192383,0.0003972053527832031
97,63,0.09413862228393555,0.04172563552856445,0.0004703998565673828,0.007832765579223633,0.03342247009277344,0.030788660049438477,0.008357524871826172,0.0007152557373046875,9.083747863769531e-05,0.0212099552154541,0.0004150867462158203
98,63,0.08958625793457031,0.041400909423828125,0.0004134178161621094,0.007718324661254883,0.03326916694641113,0.026261568069458008,0.0007355213165283203,0.0007123947143554688,8.869171142578125e-05,0.02431654930114746,0.00040841102600097656
99,63,0.09048986434936523,0.042902231216430664,0.0004253387451171875,0.009104013442993164,0.03337287902832031,0.026201963424682617,0.0007052421569824219,0.0007219314575195312,9.512901306152344e-05,0.024266719818115234,0.00041294097900390625
100,63,0.08844757080078125,0.041086673736572266,0.00041174888610839844,0.007581472396850586,0.03309345245361328,0.02599787712097168,0.0007011890411376953,0.0007114410400390625,8.821487426757812e-05,0.02409219741821289,0.0004048347473144531
101,57,0.09471940994262695,0.04112744331359863,0.00041413307189941406,0.00809621810913086,0.03261709213256836,0.03289914131164551,0.0074291229248046875,0.0007374286651611328,9.918212890625e-05,0.02422475814819336,0.0004086494445800781
102,57,0.08763384819030762,0.04097151756286621,0.00041604042053222656,0.0075414180755615234,0.03301405906677246,0.02487468719482422,0.0006434917449951172,0.0007116794586181641,8.893013000488281e-05,0.02303171157836914,0.00039887428283691406
103,57,0.08701777458190918,0.04162240028381348,0.00041556358337402344,0.008467674255371094,0.03273916244506836,0.024682998657226562,0.0006384849548339844,0.0007140636444091797,8.416175842285156e-05,0.022847890853881836,0.00039839744567871094
104,57,0.08800125122070312,0.04170703887939453,0.000408172607421875,0.008403778076171875,0.03289508819580078,0.024454832077026367,0.0006492137908935547,0.0007355213165283203,9.655952453613281e-05,0.022577762603759766,0.00039577484130859375
105,50,0.0928807258605957,0.04212522506713867,0.0004165172576904297,0.008735895156860352,0.03297281265258789,0.03077220916748047,0.006715297698974609,0.0007250308990478516,9.34600830078125e-05,0.022808551788330078,0.0004298686981201172
106,50,0.08374595642089844,0.03949332237243652,0.0004031658172607422,0.00835728645324707,0.03073287010192871,0.021918535232543945,0.0005755424499511719,0.0007081031799316406,8.797645568847656e-05,0.020158052444458008,0.00038886070251464844
107,50,0.08267021179199219,0.0407407283782959,0.00041294097900390625,0.007528781890869141,0.03279900550842285,0.021975040435791016,0.0006687641143798828,0.0007307529449462891,9.560585021972656e-05,0.020090103149414062,0.0003898143768310547
108,50,0.08489680290222168,0.04179263114929199,0.00043892860412597656,0.008488893508911133,0.03286480903625488,0.021928787231445312,0.00057220458984375,0.0007126331329345703,8.96453857421875e-05,0.02015829086303711,0.0003960132598876953
109,44,0.08816933631896973,0.04151725769042969,0.00041031837463378906,0.008351325988769531,0.03275561332702637,0.026979923248291016,0.005781412124633789,0.0007078647613525391,0.00010418891906738281,0.019993066787719727,0.0003933906555175781
110,44,0.08184289932250977,0.041521549224853516,0.0004150867462158203,0.008175849914550781,0.032930612564086914,0.019552946090698242,0.0005016326904296875,0.0007238388061523438,8.821487426757812e-05,0.01785421371459961,0.00038504600524902344
111,44,0.08127260208129883,0.041643381118774414,0.0004055500030517578,0.008409261703491211,0.032828569412231445,0.019502639770507812,0.0005135536193847656,0.0007116794586181641,9.226799011230469e-05,0.0178067684173584,0.0003783702850341797
112,44,0.08234286308288574,0.041745901107788086,0.0004143714904785156,0.008478641510009766,0.032852888107299805,0.019392728805541992,0.0005412101745605469,0.0007154941558837891,8.535385131835938e-05,0.017654895782470703,0.00039577484130859375
113,44,0.08117127418518066,0.04186868667602539,0.0004127025604248047,0.008539199829101562,0.03291678428649902,0.019451379776000977,0.0005052089691162109,0.0008082389831542969,8.654594421386719e-05,0.01766824722290039,0.00038313865661621094
114,44,0.08167195320129395,0.04163861274719238,0.0004382133483886719,0.008486509323120117,0.032713890075683594,0.019310712814331055,0.0005125999450683594,0.0007104873657226562,8.797645568847656e-05,0.017613887786865234,0.0003857612609863281
115,44,0.08064603805541992,0.04143357276916504,0.00041985511779785156,0.008099079132080078,0.03291463851928711,0.01951003074645996,0.0005385875701904297,0.0007131099700927734,9.1552734375e-05,0.017778873443603516,0.0003879070281982422
116,44,0.08224678039550781,0.0417783260345459,0.0004138946533203125,0.008579492568969727,0.03278493881225586,0.01953601837158203,0.0005140304565429688,0.0007200241088867188,8.988380432128906e-05,0.017825841903686523,0.00038623809814453125
117,44,0.0867300033569336,0.04182577133178711,0.0004241466522216797,0.008659124374389648,0.03274250030517578,0.024968624114990234,0.005860805511474609,0.0007195472717285156,8.702278137207031e-05,0.017912626266479492,0.0003886222839355469
118,44,0.08274674415588379,0.04167342185974121,0.00040793418884277344,0.008426189422607422,0.032839298248291016,0.01946115493774414,0.0005390644073486328,0.0007097721099853516,8.630752563476562e-05,0.017749547958374023,0.0003764629364013672
119,44,0.08129549026489258,0.041503190994262695,0.0004200935363769531,0.008413553237915039,0.0326695442199707,0.019515037536621094,0.0005130767822265625,0.0007205009460449219,9.632110595703125e-05,0.017801761627197266,0.0003833770751953125
120,44,0.08257937431335449,0.04220771789550781,0.00042819976806640625,0.009063005447387695,0.03271651268005371,0.01968550682067871,0.0005362033843994141,0.0007307529449462891,0.00010156631469726562,0.017908096313476562,0.0004088878631591797
121,44,0.07744836807250977,0.0386655330657959,0.0004105567932128906,0.007973670959472656,0.03028130531311035,0.01940774917602539,0.0005116462707519531,0.0007164478302001953,8.7738037109375e-05,0.017709970474243164,0.0003819465637207031
122,44,0.08220338821411133,0.0417790412902832,0.0004105567932128906,0.008644580841064453,0.03272390365600586,0.019723176956176758,0.0005424022674560547,0.0007097721099853516,9.298324584960938e-05,0.017986536026000977,0.0003914833068847656
123,44,0.08102536201477051,0.04190468788146973,0.0004055500030517578,0.008605718612670898,0.03289341926574707,0.019447803497314453,0.0005137920379638672,0.000713348388671875,9.393692016601562e-05,0.017748117446899414,0.00037860870361328125
124,44,0.08091044425964355,0.04090261459350586,0.0004138946533203125,0.007854223251342773,0.03263449668884277,0.019643545150756836,0.00051116943359375,0.0007159709930419922,9.202957153320312e-05,0.01793837547302246,0.0003859996795654297
125,44,0.08615279197692871,0.04142880439758301,0.0004200935363769531,0.008306503295898438,0.03270220756530762,0.025066137313842773,0.006101369857788086,0.0007011890411376953,9.560585021972656e-05,0.017745018005371094,0.0004229545593261719
126,44,0.08186793327331543,0.0416872501373291,0.0005223751068115234,0.008394718170166016,0.03277015686035156,0.019453048706054688,0.000499725341796875,0.0007052421569824219,8.702278137207031e-05,0.017778873443603516,0.0003821849822998047
127,44,0.08153605461120605,0.04146885871887207,0.0004165172576904297,0.008374214172363281,0.03267812728881836,0.020435333251953125,0.0005486011505126953,0.0007905960083007812,0.00011920928955078125,0.018566370010375977,0.0004105567932128906
128,44,0.08178448677062988,0.04173088073730469,0.0004169940948486328,0.008687257766723633,0.03262662887573242,0.019487380981445312,0.0005183219909667969,0.0007042884826660156,8.678436279296875e-05,0.017794132232666016,0.0003838539123535156
129,44,0.08014202117919922,0.04138898849487305,0.0004112720489501953,0.008407115936279297,0.032570600509643555,0.019327878952026367,0.0005178451538085938,0.0007092952728271484,9.131431579589844e-05,0.017623424530029297,0.0003859996795654297
130,38,0.08654499053955078,0.041423797607421875,0.00041675567626953125,0.008348941802978516,0.03265810012817383,0.024438858032226562,0.005400419235229492,0.0007100105285644531,8.845329284667969e-05,0.0178525447845459,0.00038743019104003906
131,38,0.07789158821105957,0.04117155075073242,0.0004107952117919922,0.008100032806396484,0.032660722732543945,0.017058849334716797,0.00044798851013183594,0.0006990432739257812,8.535385131835938e-05,0.015460729598999023,0.0003657341003417969
132,38,0.07876300811767578,0.041501522064208984,0.0004172325134277344,0.008344888687133789,0.03273940086364746,0.01695847511291504,0.0004532337188720703,0.0007033348083496094,8.440017700195312e-05,0.015344858169555664,0.0003726482391357422
133,38,0.07823467254638672,0.04149150848388672,0.00040602684020996094,0.008380889892578125,0.03270459175109863,0.01726555824279785,0.0004677772521972656,0.0007910728454589844,8.296966552734375e-05,0.015457391738891602,0.00046634674072265625
134,38,0.07929182052612305,0.041753292083740234,0.0004127025604248047,0.008378744125366211,0.03296184539794922,0.017100095748901367,0.0004558563232421875,0.0007128715515136719,9.131431579589844e-05,0.015467166900634766,0.00037288665771484375
135,38,0.07735013961791992,0.041036128997802734,0.0004482269287109375,0.007956743240356445,0.03263115882873535,0.017008543014526367,0.0004611015319824219,0.0007078647613525391,8.702278137207031e-05,0.015383243560791016,0.0003693103790283203
136,38,0.07909297943115234,0.04154515266418457,0.0004119873046875,0.008296966552734375,0.032836198806762695,0.017056703567504883,0.0004634857177734375,0.0007376670837402344,8.511543273925781e-05,0.015399932861328125,0.0003705024719238281
137,38,0.07814264297485352,0.0416414737701416,0.00041365623474121094,0.008136510848999023,0.03309130668640137,0.016951799392700195,0.00044608116149902344,0.0007016658782958984,8.440017700195312e-05,0.015352249145507812,0.0003674030303955078
138,38,0.08282184600830078,0.04076051712036133,0.0004401206970214844,0.007739543914794922,0.03258085250854492,0.021689891815185547,0.005070924758911133,0.0007188320159912109,8.893013000488281e-05,0.015434026718139648,0.0003771781921386719
139,38,0.07799434661865234,0.04130434989929199,0.0004127025604248047,0.0081939697265625,0.03269767761230469,0.017154216766357422,0.0004515647888183594,0.0007061958312988281,8.749961853027344e-05,0.015538930892944336,0.000370025634765625
140,38,0.07957243919372559,0.0419003963470459,0.0004165172576904297,0.008504152297973633,0.032979726791381836,0.01719045639038086,0.0004494190216064453,0.0007090568542480469,8.630752563476562e-05,0.0155792236328125,0.00036644935607910156
141,38,0.07874441146850586,0.0418398380279541,0.0005002021789550781,0.008500337600708008,0.032839298248291016,0.017460107803344727,0.0004563331604003906,0.0008251667022705078,9.679794311523438e-05,0.015705347061157227,0.0003764629364013672
142,38,0.07973837852478027,0.041551828384399414,0.0004169940948486328,0.008350372314453125,0.032784461975097656,0.017798185348510742,0.00045228004455566406,0.0007271766662597656,0.00010538101196289062,0.01614665985107422,0.0003666877746582031
143,38,0.07733845710754395,0.04108476638793945,0.0004100799560546875,0.0081024169921875,0.032572269439697266,0.016947507858276367,0.0004551410675048828,0.0007078647613525391,8.606910705566406e-05,0.015329122543334961,0.0003693103790283203
144,38,0.0783083438873291,0.04098653793334961,0.0004181861877441406,0.007952690124511719,0.03261566162109375,0.017050743103027344,0.0004534721374511719,0.0007083415985107422,9.250640869140625e-05,0.015429496765136719,0.0003669261932373047
145,38,0.07744145393371582,0.04124855995178223,0.00042128562927246094,0.008101701736450195,0.03272557258605957,0.016910791397094727,0.00045490264892578125,0.0007033348083496094,8.559226989746094e-05,0.015302658081054688,0.0003643035888671875
