FRAME NR,SET SIZE,TOTAL,VISION TOTAL,PERSPECTIVE TRANSFORMATION,BOUNDARY DETECTION,OBJECT DETECTION,LOCALIZATION TOTAL,RESAMPLING,AVG PARTICLE,WEIGHT NORMALIZATION,LIKELIHOOD UPDATE,PROPAGATION
50,53,0.14092683792114258,0.040997982025146484,0.00040912628173828125,0.005618095397949219,0.034970760345458984,0.08418726921081543,0.007185220718383789,0.0008084774017333984,0.00010895729064941406,0.07550430297851562,0.0005803108215332031
51,53,0.0780935287475586,0.0393824577331543,0.00042366981506347656,0.006037712097167969,0.03292107582092285,0.023334980010986328,0.0006802082061767578,0.0007114410400390625,8.988380432128906e-05,0.021462202072143555,0.00039124488830566406
52,53,0.0798037052154541,0.03974509239196777,0.00041413307189941406,0.00640559196472168,0.03292536735534668,0.024872779846191406,0.0005931854248046875,0.0007464885711669922,0.00011682510375976562,0.023023366928100586,0.000392913818359375
53,53,0.07822179794311523,0.03965449333190918,0.0004181861877441406,0.00632023811340332,0.03291606903076172,0.02331399917602539,0.0006296634674072266,0.0007224082946777344,9.799003601074219e-05,0.021468639373779297,0.0003952980041503906
54,46,0.0830984115600586,0.03925347328186035,0.0004150867462158203,0.005521535873413086,0.033316850662231445,0.029007911682128906,0.006163597106933594,0.0007219314575195312,9.655952453613281e-05,0.02162909507751465,0.000396728515625
55,46,0.07543516159057617,0.04003572463989258,0.00040912628173828125,0.006445646286010742,0.033180952072143555,0.0204620361328125,0.0005233287811279297,0.0007388591766357422,9.036064147949219e-05,0.018732309341430664,0.0003771781921386719
56,46,0.07442879676818848,0.03933882713317871,0.00041937828063964844,0.005916118621826172,0.03300333023071289,0.02049732208251953,0.0005321502685546875,0.0007114410400390625,0.00011134147644042969,0.018757104873657227,0.000385284423828125
57,46,0.07459306716918945,0.03965044021606445,0.00041675567626953125,0.005773782730102539,0.03345990180969238,0.020328521728515625,0.0005629062652587891,0.0007085800170898438,9.083747863769531e-05,0.018586158752441406,0.0003800392150878906
58,46,0.07476329803466797,0.03977704048156738,0.00043964385986328125,0.006334543228149414,0.03300285339355469,0.020505905151367188,0.0005297660827636719,0.0007159709930419922,9.679794311523438e-05,0.018764495849609375,0.00039887428283691406
59,40,0.07932233810424805,0.03940296173095703,0.00041365623474121094,0.006159543991088867,0.03282976150512695,0.025295495986938477,0.005389690399169922,0.0008113384246826172,0.00012540817260742188,0.01858353614807129,0.00038552284240722656
